Student_Roll_no,Name,Gender,DOB,Father's_Name,Mother's_Name,School_code,English,English_Grade,Mathematics,Mathematics_Grade,Social_Science,Social_Science_Grade,Hindi,Hindi_Grade,Science,Science_Grade
473,Denise Chen,Female,04-05-2009,James Walker,Leslie Wright,5010,27,E1,69,B2,60,C1,35,D,73,B1
474,Mark Herrera,Male,28-06-2008,David Page,Heather Hill,5010,16,E2,74,B1,18,E2,15,E2,25,E1
475,Brittany Hampton,Male,22-07-2009,Brian Rasmussen,Carmen Delgado,5010,68,B2,90,A2,69,B2,20,E2,29,E1
476,Paul Marks,Female,19-07-2009,Neil Hebert,Elizabeth Lopez,5010,92,A1,42,C2,34,D,48,C2,94,A1
477,Gloria Olson,Male,03-12-2009,Todd Ruiz,Hannah Patel,5010,84,A2,10,E2,35,D,88,A2,33,D
478,Mark Wells,Male,01-02-2008,Ian Smith,Brianna Grant,5010,60,C1,52,C1,54,C1,22,E1,23,E1
479,Julia Hartman,Male,18-03-2008,Juan Snyder,Jennifer Choi,5010,36,D,72,B1,87,A2,86,A2,99,A1
480,Samantha Martinez,Male,09-02-2008,Chad Henderson,Cynthia Williams,5010,40,D,25,E1,31,D,37,D,49,C2
481,Stephanie Olson,Male,30-08-2009,Tyler Wilkinson,Annette Pennington,5010,78,B1,46,C2,65,B2,44,C2,70,B2
482,Robert Fleming,Male,13-02-2009,Scott Jarvis,Valerie Cross,5010,81,A2,39,D,46,C2,67,B2,38,D
483,Kristy Carr,Female,24-04-2008,Michael Morales,Debra Taylor,5010,47,C2,53,C1,31,D,76,B1,73,B1
484,Jennifer Hernandez,Female,20-05-2009,John Nelson,Katrina Powell,5010,97,A1,46,C2,91,A1,86,A2,42,C2
485,Dr. Anna Lopez,Female,10-02-2009,Vincent Miles,Penny Mcintyre,5010,57,C1,94,A1,96,A1,85,A2,90,A2
486,Jeffrey Brown,Male,23-04-2009,Joseph Tran,Amy Randolph,5010,91,A1,82,A2,28,E1,14,E2,38,D
487,Nicholas Williams,Male,23-08-2008,Christian Miles,Paula Martin,5010,13,E2,10,E2,10,E2,83,A2,90,A2
488,Susan Collins,Male,25-05-2009,Daniel Collins,Vicki Knight,5010,37,D,38,D,30,E1,83,A2,41,C2
489,Michael Pierce,Female,14-05-2009,Dave Davis,Lori Jones,5010,21,E1,17,E2,72,B1,73,B1,56,C1
490,Michelle Herrera,Male,12-09-2008,Andrew Bates,Tina Hendrix,5010,79,B1,66,B2,10,E2,68,B2,83,A2
491,Brandi Harmon,Female,27-11-2009,Jonathan Powell,Kimberly Nelson,5010,84,A2,90,A2,83,A2,24,E1,45,C2
492,Kristina Mcdonald,Female,04-12-2008,Connor Ellis,Mary Williams,5010,49,C2,62,B2,94,A1,69,B2,67,B2
493,Eric Brewer,Male,25-09-2008,Andrew Allen,Casey Roberts,5010,96,A1,79,B1,28,E1,24,E1,68,B2
494,Anthony Smith,Female,16-08-2008,Frank Ellis,Alexandra Stewart,5010,51,C1,63,B2,67,B2,33,D,80,B1
495,Kelly Guerrero,Female,24-02-2009,John Murillo DVM,Mary Anderson,5010,77,B1,59,C1,69,B2,43,C2,38,D
496,Laura Nunez,Male,04-12-2008,Edward Leonard DVM,Tina Boyd,5010,36,D,13,E2,46,C2,60,C1,53,C1
497,Stephanie Hodge,Male,23-09-2008,Justin Webb,Brittany Craig,5010,99,A1,83,A2,54,C1,54,C1,40,D
498,Jennifer Evans,Female,13-02-2009,Daniel Patton,Joanna Kim,5010,25,E1,24,E1,90,A2,73,B1,75,B1
499,Kristin Schwartz,Male,08-02-2009,Eric Woods,Sherry Brown,5010,62,B2,21,E1,44,C2,42,C2,67,B2
500,Patrick Brown,Male,15-11-2008,Michael Cox,Dawn Fleming,5010,14,E2,73,B1,71,B1,56,C1,62,B2
501,Barry Green,Male,16-11-2009,Adrian Estrada,Audrey Ramirez,5010,19,E2,56,C1,87,A2,35,D,90,A2
502,Patricia Stark,Male,05-01-2009,Gerald Cooper,Jackie Burns,5010,91,A1,34,D,38,D,44,C2,47,C2
503,John Smith,Female,01-05-2008,John Ramirez,Kelly Fernandez,5010,14,E2,19,E2,91,A1,63,B2,64,B2
504,Joel King,Female,05-11-2008,Logan Gates,Toni Thompson,5010,39,D,46,C2,84,A2,60,C1,81,A2
505,Amanda Torres,Male,31-05-2009,Aaron Mora,Sarah Solomon,5010,28,E1,85,A2,94,A1,64,B2,63,B2
506,Eric Cowan,Female,18-11-2008,Alan Torres,Holly Parker,5010,17,E2,84,A2,17,E2,31,D,26,E1
507,Jennifer French,Female,06-01-2008,Charles Gutierrez,Courtney Butler,5010,85,A2,40,D,97,A1,98,A1,51,C1
508,Joe Lee,Male,10-11-2008,Samuel Peterson,Alexandra Spencer,5010,45,C2,77,B1,54,C1,87,A2,95,A1
509,William Thomas,Female,19-04-2009,John Kirby,Danielle Williams,5010,36,D,68,B2,48,C2,29,E1,66,B2
510,Deborah Smith,Female,27-01-2008,Shane Roman,Tiffany Harris,5010,12,E2,64,B2,44,C2,73,B1,83,A2
511,Michelle Smith,Female,21-06-2008,Jared Ortiz,Courtney Taylor,5010,50,C2,29,E1,26,E1,72,B1,34,D
512,Tara Bond,Female,26-08-2009,Austin Le,Laura Arias,5010,18,E2,79,B1,42,C2,13,E2,32,D
513,Joanne Hart,Female,07-01-2009,Timothy Moore,Nancy Gray,5010,77,B1,37,D,57,C1,79,B1,98,A1
514,Kelly Moore PhD,Female,18-06-2009,Gavin Munoz,Mrs. Diana Cochran,5010,76,B1,22,E1,81,A2,30,E1,75,B1
515,Logan Green,Female,27-08-2009,Lee Rodriguez,Rebecca Cox,5010,76,B1,51,C1,71,B1,60,C1,82,A2
516,Aaron Wells,Male,17-02-2008,Jeffrey Scott,Gina Hale,5010,80,B1,32,D,27,E1,63,B2,20,E2
517,Robert Salinas,Male,23-01-2009,James Guerrero,Linda Parker,5010,93,A1,82,A2,45,C2,62,B2,32,D
518,Alicia Acevedo,Male,17-11-2009,Lonnie Barker,Stephanie Clark,5010,79,B1,77,B1,19,E2,78,B1,24,E1
519,Bryan Taylor,Male,13-03-2008,Matthew Moore,Kathleen York,5010,45,C2,31,D,11,E2,31,D,16,E2
520,Andrew Thomas,Male,05-07-2008,Kevin Powell,Chelsea Myers,5010,33,D,60,C1,39,D,35,D,84,A2
521,Kevin Crawford,Male,13-08-2008,James Patel,Leslie Thompson,5010,93,A1,61,B2,81,A2,39,D,25,E1
522,Eric Sutton,Male,07-12-2009,Karl Gonzalez,Bridget Garcia DVM,5010,90,A2,62,B2,12,E2,98,A1,35,D
523,Jimmy Mccarthy,Female,27-11-2009,John Valentine,Brittany Perry,5010,49,C2,52,C1,49,C2,90,A2,24,E1
524,Brenda Norman,Female,31-10-2008,John Torres,Patricia Smith,5010,29,E1,30,E1,71,B1,69,B2,40,D
525,Timothy Cox,Male,03-06-2009,Christopher Newman,Cynthia Russell,5010,32,D,18,E2,64,B2,23,E1,47,C2
526,Robert Rhodes,Female,05-09-2009,Dwayne Pennington,Janice Finley,5010,17,E2,25,E1,59,C1,92,A1,71,B1
527,Wanda Lara,Male,17-12-2009,Marcus Miller,Loretta Hull,5010,84,A2,30,E1,88,A2,73,B1,75,B1
528,John Reed,Female,22-11-2008,Jose Thompson,Kristina Smith,5010,51,C1,80,B1,82,A2,23,E1,33,D
529,Savannah Miles,Male,08-12-2009,Alex Smith,Sarah Thomas,5010,20,E2,85,A2,96,A1,58,C1,65,B2
530,Troy Cole,Female,06-02-2008,Kenneth Cohen,Cheryl Hancock,5010,65,B2,27,E1,67,B2,39,D,82,A2
531,Rebecca Wright,Male,04-01-2008,Dakota Williams,Stacy Graham,5010,79,B1,34,D,11,E2,45,C2,23,E1
532,Rachel Gray,Female,24-09-2008,David Sanchez,Rachel Suarez,5010,82,A2,58,C1,17,E2,89,A2,51,C1
533,Ashley Davidson,Male,02-09-2008,Francisco Gibson,Angel Kennedy,5010,31,D,68,B2,77,B1,83,A2,74,B1
534,Christopher Elliott,Male,16-04-2009,George Kline,Brenda Bond,5010,68,B2,88,A2,14,E2,16,E2,73,B1
535,Jason Sutton,Male,11-10-2009,Lee Johnson,Kimberly Hernandez,5010,19,E2,45,C2,36,D,48,C2,92,A1
536,Mark Page,Male,06-07-2008,Alan Clark,Megan Fry,5010,63,B2,61,B2,90,A2,76,B1,52,C1
537,Dylan Lee,Male,10-07-2009,Samuel Peterson,Tiffany Smith,5010,92,A1,34,D,50,C2,22,E1,13,E2
538,Peter Brown,Female,29-06-2008,Thomas Miller,Lisa Williams,5010,20,E2,54,C1,10,E2,44,C2,22,E1
539,Arthur Flowers,Female,09-04-2009,John Hill,Angela Caldwell,5010,33,D,10,E2,84,A2,19,E2,60,C1
540,William Smith,Male,11-03-2008,Wesley Shaffer,Nicole Taylor,5010,51,C1,26,E1,75,B1,61,B2,98,A1
541,Ralph Mitchell,Male,26-09-2008,Rodney Hale,Mrs. Sydney Clark MD,5010,28,E1,33,D,27,E1,62,B2,67,B2
542,Lorraine Monroe,Female,06-02-2009,Jacob Martinez,Toni Thomas,5010,70,B2,15,E2,97,A1,18,E2,99,A1
543,Mrs. Alicia Arias,Male,07-11-2008,James Murillo,Kayla Vargas DDS,5010,11,E2,56,C1,43,C2,54,C1,68,B2
544,Jonathan Hicks,Male,21-03-2008,Samuel Graham,Nancy Taylor,5010,64,B2,32,D,86,A2,16,E2,17,E2
545,Dawn Morales,Male,15-04-2009,Allen Jackson,Patricia Orozco,5010,74,B1,96,A1,50,C2,35,D,90,A2
546,Stacy Snow,Female,09-04-2009,Albert Lamb,Michelle White,5010,80,B1,99,A1,20,E2,52,C1,99,A1
547,Keith Knight,Female,17-09-2008,John Johnson,Rhonda Bates,5010,53,C1,60,C1,71,B1,29,E1,36,D
548,Amanda Carlson,Male,19-05-2009,Dwayne Miller,Lindsey Carter,5010,23,E1,11,E2,28,E1,59,C1,58,C1
549,William Mcdowell,Male,28-05-2008,Justin Moreno,Tammie Perez,5010,14,E2,62,B2,81,A2,23,E1,80,B1
550,Robert Deleon,Male,11-04-2009,Michael Mann,Amy Lawrence,5010,20,E2,30,E1,85,A2,15,E2,62,B2
551,Brooke White,Male,03-04-2008,Thomas Greene,Laura Reed,5010,94,A1,14,E2,43,C2,11,E2,16,E2
552,Keith Newman,Male,05-05-2009,David Mclean,Nicole Moss,5010,55,C1,25,E1,31,D,88,A2,97,A1
553,Robert Rangel,Female,16-09-2008,Christopher Rivers,Whitney Harris,5010,87,A2,97,A1,89,A2,51,C1,74,B1
554,Aaron Gonzalez,Male,05-06-2009,Eric Jordan,Deborah Sims MD,5010,79,B1,81,A2,37,D,21,E1,46,C2
555,Nicole Duffy,Female,05-05-2009,Jason Roberts,Sarah Sawyer,5010,97,A1,15,E2,96,A1,55,C1,12,E2
556,Brian Stewart,Female,16-09-2008,Troy Barron,Tanya Davis,5010,56,C1,59,C1,83,A2,74,B1,54,C1
557,Sheila Gonzales,Male,08-03-2008,Luis Jackson,Danielle Ingram,5010,95,A1,46,C2,45,C2,73,B1,31,D
558,David Hernandez,Female,31-08-2009,Scott Winters,Vanessa Dickerson,5010,94,A1,12,E2,81,A2,81,A2,63,B2
559,Elijah Peters,Male,05-08-2009,Maurice Phillips,Rachel Thompson,5010,52,C1,19,E2,95,A1,63,B2,86,A2
560,Krista Franco,Female,31-05-2008,Michael Jackson,Sandra Butler,5010,73,B1,48,C2,57,C1,67,B2,62,B2
561,William Levy,Female,15-02-2008,Ricardo Reyes,Amanda Kirk,5010,47,C2,67,B2,95,A1,77,B1,42,C2
562,Dr. April Espinoza,Male,12-12-2008,Richard Reynolds,Stephanie Stevens,5010,54,C1,75,B1,38,D,92,A1,23,E1
563,Charles Robinson,Male,10-04-2008,James Macdonald,Alexandra Huff,5010,95,A1,82,A2,39,D,70,B2,48,C2
564,William Hunter,Male,04-06-2009,Mark Holloway,Emily Ferguson,5010,71,B1,52,C1,18,E2,99,A1,23,E1
565,Carlos Smith,Male,31-08-2008,Mark Thompson,Jennifer Johnson,5010,66,B2,69,B2,44,C2,13,E2,19,E2
566,Stacey Carroll,Female,20-05-2008,Jesse Kelly,Ashley Scott,5010,63,B2,93,A1,68,B2,58,C1,96,A1
567,Donna Wood,Male,15-07-2009,Kent James,Laura Lopez,5010,41,C2,29,E1,35,D,35,D,71,B1
568,Jason Stevens,Male,19-06-2008,Eric Ramirez,Kendra Young,5010,57,C1,83,A2,32,D,22,E1,47,C2
569,Theresa Smith,Female,23-08-2008,Scott Gilbert,Judy Mitchell,5010,62,B2,77,B1,62,B2,43,C2,13,E2
570,Sandra Stevens,Male,17-01-2009,Wayne Hernandez,Kayla Medina,5010,66,B2,58,C1,66,B2,63,B2,56,C1
571,Christopher Cruz,Female,20-03-2008,Jeremy Dean,Diane Baxter,5010,43,C2,25,E1,46,C2,31,D,46,C2
572,Robert Atkinson,Female,20-01-2008,Corey Rogers,Jennifer Hartman,5010,65,B2,83,A2,44,C2,33,D,66,B2
573,Debra Wallace,Female,26-06-2008,Nathan Grant,Melissa Miller,5010,32,D,81,A2,95,A1,15,E2,91,A1
574,Joshua Green,Male,21-12-2008,Steven Cohen,Kelli Taylor,5010,66,B2,84,A2,76,B1,24,E1,75,B1
575,Xavier Rollins,Female,26-11-2008,Jason Barnes,Debra James,5010,22,E1,38,D,25,E1,39,D,46,C2
576,Sandra Chase,Male,13-12-2008,Donald Smith,Michelle Ortiz,5010,80,B1,62,B2,88,A2,23,E1,18,E2
577,Mrs. Jessica Reilly,Male,17-06-2008,Carlos Nichols,Brittany King,5010,79,B1,87,A2,88,A2,91,A1,85,A2
578,Melissa Williams,Female,01-12-2008,Andrew Edwards,Teresa Hudson MD,5010,74,B1,60,C1,33,D,41,C2,85,A2
579,Mr. Richard Hanson MD,Male,19-05-2008,Cole Nichols,Angela Levy,5010,10,E2,91,A1,85,A2,25,E1,59,C1
580,Kayla Odom,Male,20-11-2009,James Gray,Brenda Gordon,5010,81,A2,44,C2,70,B2,83,A2,75,B1
581,Courtney Young,Female,04-05-2008,James Nguyen,Holly Morris,5010,95,A1,74,B1,56,C1,74,B1,15,E2
582,Bonnie Buckley,Male,08-07-2009,Nicholas Donovan,Cindy Ortega,5010,27,E1,28,E1,58,C1,32,D,78,B1
583,Elizabeth Lewis,Female,04-05-2008,Michael Garcia,Belinda Logan,5010,62,B2,42,C2,65,B2,63,B2,97,A1
584,Bethany Duke,Female,04-12-2008,Brandon Smith,Lisa Black,5010,48,C2,89,A2,29,E1,29,E1,92,A1
585,Russell Chavez,Male,20-12-2008,Derrick Thompson,Jessica Davis,5010,96,A1,47,C2,60,C1,62,B2,86,A2
586,Emily Jackson,Female,08-05-2009,Christopher Smith,Kathleen Davis,5010,52,C1,82,A2,22,E1,27,E1,29,E1
587,Michael Grimes,Female,19-10-2008,Bobby Anderson,Joyce Johnson,5010,67,B2,32,D,58,C1,74,B1,42,C2
588,Nancy Holt,Female,02-08-2008,Jerome May,Samantha Williams,5010,17,E2,61,B2,95,A1,95,A1,58,C1
589,Matthew Blake,Male,12-08-2008,Joseph Anderson,Lauren Oneill,5010,46,C2,74,B1,73,B1,61,B2,96,A1
590,Sharon Terry,Female,26-06-2008,Anthony Murphy,Stephanie Rios,5010,19,E2,58,C1,78,B1,51,C1,35,D
591,Steven Long,Male,21-06-2008,Brandon Stewart,Tammy Martinez,5010,25,E1,19,E2,65,B2,42,C2,85,A2
592,Justin Ross,Male,30-04-2009,Joshua Baker,Adrienne Villa,5010,19,E2,73,B1,80,B1,71,B1,15,E2
593,Michael Singleton,Female,19-09-2008,Casey Fisher,Megan Shannon,5010,11,E2,89,A2,41,C2,41,C2,17,E2
594,Erica Davidson,Female,28-01-2008,Steven Nguyen,Amy Wallace,5010,70,B2,85,A2,75,B1,70,B2,27,E1
595,John Ross,Male,07-07-2009,Stephen Mills,Angela Sexton,5010,43,C2,47,C2,56,C1,93,A1,57,C1
596,Shawn Wood,Female,31-08-2009,Miguel Santiago,Morgan Oliver,5010,63,B2,29,E1,43,C2,92,A1,48,C2
597,David Matthews,Male,21-04-2009,Kenneth Taylor,Bianca Randall,5010,90,A2,93,A1,43,C2,55,C1,36,D
598,Lindsey Lucero,Female,19-09-2009,Christopher Williams,Kerri Nunez,5010,72,B1,18,E2,71,B1,16,E2,88,A2
599,Mr. Micheal Taylor,Female,04-02-2009,Oscar Harris DDS,Jessica Zimmerman,5010,69,B2,86,A2,24,E1,81,A2,31,D
600,Mark Baker,Female,01-01-2009,Sergio Hayden,Christina Clark,5010,25,E1,33,D,75,B1,76,B1,27,E1
601,Mitchell Jackson,Male,23-03-2008,Phillip Smith,Linda Powers,5010,48,C2,57,C1,66,B2,46,C2,22,E1
602,Mr. Brandon Garcia PhD,Male,25-07-2008,Robert Romero,Victoria Terry,5010,50,C2,69,B2,86,A2,80,B1,88,A2
603,Michael Wilson,Male,18-02-2008,Joshua Williams,Lisa Ramirez,5010,64,B2,95,A1,75,B1,97,A1,36,D
604,Leslie Bradshaw,Male,21-07-2008,Casey Watson,Theresa Martinez,5010,44,C2,68,B2,38,D,43,C2,54,C1
605,James Ortiz,Female,08-02-2008,Thomas Rowe,Jennifer Waters,5010,90,A2,32,D,90,A2,72,B1,71,B1
606,Beth Carter,Male,14-07-2009,Kevin Matthews,Laura Kennedy,5010,35,D,15,E2,41,C2,25,E1,87,A2
607,Janice Huber,Male,05-09-2009,Mark Holder,Alicia Phillips,5010,21,E1,15,E2,66,B2,35,D,72,B1
608,John Beard,Female,10-10-2008,Glenn Klein,Cynthia Strickland,5010,89,A2,11,E2,14,E2,28,E1,87,A2
609,Daniel Sharp,Female,07-03-2008,Robert Yates,Angela Garcia,5010,37,D,19,E2,95,A1,82,A2,22,E1
610,Roberta Little,Male,02-06-2008,Scott Lee,Dana Jensen,5010,57,C1,90,A2,75,B1,82,A2,64,B2
611,Brandy Mack,Female,16-10-2009,Brad May DVM,Amber Hernandez,5010,39,D,82,A2,63,B2,86,A2,20,E2
612,Kyle Thomas,Female,29-10-2009,Jack Gonzalez,Rachel Peters,5010,80,B1,93,A1,97,A1,45,C2,72,B1
613,Gary Morgan,Female,07-06-2008,Benjamin Mayer,Kendra Roberts,5010,21,E1,40,D,28,E1,88,A2,15,E2
614,Michael Carlson,Male,08-01-2009,William Camacho,Peggy Johnson,5010,77,B1,10,E2,91,A1,40,D,47,C2
615,Shannon Scott,Female,28-09-2008,Peter Glover,Susan Reilly,5010,14,E2,14,E2,45,C2,63,B2,22,E1
616,Brian Leach,Male,01-12-2008,Clinton Cook,Tara Cantu,5010,44,C2,41,C2,94,A1,86,A2,70,B2
617,Katherine Price,Female,09-03-2008,Christopher Walsh,Regina Calderon,5010,38,D,33,D,71,B1,90,A2,86,A2
618,Pamela Johnson,Female,14-07-2009,Joseph Gray,Heather Luna,5010,67,B2,98,A1,39,D,48,C2,61,B2
619,Lynn Young,Female,23-09-2009,Lee Davenport,Donna Carey,5010,58,C1,26,E1,65,B2,87,A2,70,B2
620,Joel Scott,Female,28-08-2008,Justin Bird,Nicole Gonzalez,5010,80,B1,31,D,42,C2,49,C2,57,C1
621,Edward Hoffman,Male,19-09-2009,Joseph Brooks,Evelyn Burnett,5010,58,C1,42,C2,66,B2,89,A2,78,B1
622,Jeffrey Brady,Male,06-11-2008,Paul King,Kristy Moore,5010,95,A1,64,B2,41,C2,47,C2,27,E1
623,Stephen Barker,Female,16-12-2009,Jason Williams DVM,Rhonda Wilson,5010,83,A2,31,D,94,A1,54,C1,72,B1
624,Tammy Nguyen,Male,12-08-2009,Richard Arellano,Dana Johnson,5010,83,A2,59,C1,28,E1,69,B2,21,E1
625,Jasmine Allen,Male,25-06-2008,Steve Hunt,Jessica Turner,5010,38,D,41,C2,63,B2,39,D,35,D
626,Steven Hicks,Male,12-08-2008,Robert Brown,Jenny Norris,5010,67,B2,39,D,66,B2,81,A2,83,A2
627,Anthony Wright,Female,10-11-2009,Michael Bennett,Lisa Patterson,5010,49,C2,45,C2,68,B2,47,C2,12,E2
628,Brian Wood,Male,23-06-2009,Michael Freeman,Rachel Rush,5010,61,B2,52,C1,84,A2,21,E1,16,E2
629,Andrew Ramirez,Male,12-11-2009,Benjamin Lucas,Michelle Robbins,5010,23,E1,15,E2,94,A1,54,C1,30,E1
630,Michael Howard,Male,16-10-2009,Jason Green,Felicia Lewis,5010,71,B1,92,A1,19,E2,99,A1,25,E1
631,Adam Wallace,Male,21-08-2009,Jacob Sellers,Barbara Williams,5010,33,D,86,A2,53,C1,66,B2,50,C2
632,Sarah Joyce,Female,11-06-2008,Steven Smith,Rachel Tate,5010,94,A1,94,A1,38,D,98,A1,21,E1
633,Matthew Becker,Female,28-12-2008,Howard Foster,Amanda Evans,5010,48,C2,59,C1,26,E1,88,A2,32,D
634,Emily Bates,Male,25-07-2009,Craig Bailey,Laura Ferguson,5010,50,C2,72,B1,72,B1,39,D,79,B1
635,Eric Fischer,Male,02-08-2008,Nicholas Fisher,Tara Johnson,5010,22,E1,97,A1,87,A2,34,D,94,A1
636,Elizabeth Mitchell,Female,28-09-2009,Thomas Rodriguez,Tina Cooke,5010,34,D,96,A1,99,A1,33,D,75,B1
637,Brenda Conrad,Female,31-07-2008,Raymond Douglas,Michelle Henderson,5010,19,E2,19,E2,81,A2,15,E2,21,E1
638,Joseph Meza,Female,27-10-2008,William Browning,Kimberly Morris,5010,10,E2,54,C1,47,C2,22,E1,14,E2
639,Melissa Lewis,Female,17-05-2008,Richard Luna,Brooke Burch,5010,49,C2,86,A2,93,A1,10,E2,57,C1
640,Samuel Steele,Female,02-01-2009,Mr. Javier Baker II,Courtney Bennett,5010,24,E1,14,E2,73,B1,25,E1,53,C1
641,Randall Baker,Female,11-10-2009,Mitchell Dillon,Jessica Berry,5010,53,C1,57,C1,49,C2,39,D,25,E1
642,Heather Beard,Male,25-09-2009,James Mason,Mariah Cohen,5010,35,D,37,D,50,C2,69,B2,92,A1
643,Amy Hicks,Female,10-02-2008,Mr. Michael Bush MD,Sherri Steele,5010,71,B1,51,C1,90,A2,18,E2,78,B1
644,Erica Schmidt,Male,27-06-2009,Nathan Williamson,Andrea Burnett,5010,52,C1,26,E1,32,D,83,A2,25,E1
645,Amy Hurst,Male,22-01-2008,Michael Smith,Elizabeth Brown,5010,10,E2,70,B2,83,A2,14,E2,97,A1
646,Jessica Conley,Male,26-05-2008,Scott Marshall,Miss Mary Gonzalez,5010,35,D,97,A1,97,A1,18,E2,57,C1
647,Stephanie Johnson,Female,25-04-2008,Mark Smith,Andrea Green,5010,37,D,59,C1,66,B2,52,C1,97,A1
648,Jonathan Turner,Male,28-04-2009,Zachary Holt,Samantha Roberts,5010,71,B1,90,A2,74,B1,15,E2,76,B1
649,Mary Douglas,Male,01-02-2008,Timothy Rodriguez,Jamie Ross,5010,17,E2,93,A1,16,E2,44,C2,40,D
650,Ryan Quinn,Male,29-04-2008,William Bell,Michelle Davis,5010,76,B1,37,D,26,E1,47,C2,66,B2
651,Melissa Cunningham,Male,29-09-2009,Christopher Thomas,Sharon Howard,5010,92,A1,13,E2,33,D,89,A2,97,A1
652,Carlos Sanchez,Female,09-03-2008,Jeffrey Carter,Kimberly Powers,5010,99,A1,39,D,74,B1,63,B2,59,C1
653,Harry Mitchell,Male,25-06-2008,William Williams,Maria Murphy,5010,38,D,89,A2,85,A2,21,E1,41,C2
654,David Bell,Female,05-11-2008,Carl Thomas,Robin Long,5010,22,E1,33,D,52,C1,43,C2,78,B1
655,Sara Ball DVM,Male,20-06-2008,Samuel Dickson,Cynthia Mueller,5010,62,B2,14,E2,25,E1,53,C1,69,B2
656,Luke Mcclure,Male,13-12-2009,Mark Garcia,Annette Rodriguez,5010,97,A1,48,C2,10,E2,95,A1,82,A2
657,Grace Ross,Female,09-04-2009,Johnny Huffman,Tracy Hansen,5010,91,A1,71,B1,23,E1,13,E2,96,A1
658,Michele Hickman,Male,22-03-2009,Bruce Bradford,Elizabeth Mejia,5010,37,D,97,A1,70,B2,67,B2,45,C2
659,Jacqueline Aguilar,Male,16-12-2008,Jeffery Barker,Amy Hernandez,5010,36,D,30,E1,77,B1,50,C2,49,C2
660,Peggy Hall,Male,09-08-2008,Daniel Barber,Christine Simpson,5010,34,D,67,B2,69,B2,23,E1,88,A2
661,Brian Alvarado,Female,20-05-2008,Ronald Fisher,Andrea Morris,5010,79,B1,93,A1,25,E1,17,E2,44,C2
662,Jasmine Lopez,Female,13-09-2009,John Martinez,Andrea Pacheco,5010,20,E2,87,A2,22,E1,32,D,26,E1
663,Michelle Marshall,Female,22-10-2009,Andrew Evans,Amber Reyes,5010,13,E2,63,B2,49,C2,70,B2,55,C1
664,Michael Olson,Female,23-08-2009,Raymond Francis,Emily Brown,5010,82,A2,96,A1,77,B1,33,D,31,D
665,Tonya Martin,Female,28-07-2008,Anthony Gonzalez,Rebecca Becker,5010,87,A2,53,C1,82,A2,69,B2,68,B2
666,Dr. Carrie Green,Male,13-12-2008,Joshua Davis,Megan Huff,5010,67,B2,76,B1,54,C1,54,C1,26,E1
667,Joel Good,Male,23-06-2008,Robert Boyd,Savannah Pace,5010,61,B2,16,E2,98,A1,35,D,29,E1
668,Jennifer Torres,Female,24-12-2009,Rodney Carter,Kimberly Smith,5010,58,C1,98,A1,48,C2,68,B2,24,E1
669,Bethany Norris,Male,12-09-2009,Kevin King,Margaret Burke,5010,21,E1,48,C2,53,C1,61,B2,67,B2
670,Michael Dean,Male,01-08-2009,John Finley,Linda Diaz,5010,19,E2,83,A2,53,C1,26,E1,45,C2
671,Crystal Miller,Male,19-06-2009,Kyle Graham,Danielle Williams,5010,51,C1,15,E2,90,A2,13,E2,58,C1
672,Tiffany Moore,Male,11-02-2008,Jeffrey Doyle,Amy Hamilton,5010,62,B2,11,E2,26,E1,95,A1,63,B2
673,Harry Smith,Female,14-04-2009,Mr. David Wilson,Kimberly Carroll,5010,20,E2,89,A2,26,E1,51,C1,49,C2
674,Allison Johnson,Male,06-05-2009,Christopher White,Jennifer Davidson,5010,94,A1,90,A2,88,A2,11,E2,92,A1
675,Stacy Simmons,Female,11-02-2009,Peter Ortiz,Jamie Sheppard,5010,56,C1,82,A2,49,C2,77,B1,55,C1
676,Veronica Fox,Female,27-10-2009,Isaac Baldwin,Stephanie Rosales,5010,75,B1,44,C2,47,C2,47,C2,92,A1
677,Cassandra Perez,Male,08-11-2008,Eric Parker,Anna Arellano,5010,38,D,15,E2,22,E1,73,B1,10,E2
678,Parker Grant,Male,27-11-2008,Daniel Kennedy,Traci Lewis,5010,65,B2,82,A2,35,D,96,A1,45,C2
679,Valerie Brooks,Female,21-10-2009,Matthew Obrien,Donna Johnson,5010,55,C1,21,E1,86,A2,92,A1,41,C2
680,Jennifer Miller,Female,06-09-2009,Clarence Kent,Jeanne Gibson,5010,24,E1,61,B2,57,C1,24,E1,64,B2
681,Timothy Murphy,Male,30-12-2008,Johnny Powell,Krista Peters,5010,91,A1,55,C1,61,B2,75,B1,50,C2
682,Ms. Elizabeth Taylor,Female,24-06-2008,Andrew Jones,Audrey Farrell,5010,21,E1,98,A1,97,A1,23,E1,22,E1
683,April Brady,Female,07-05-2009,Alec Freeman,Suzanne Reese,5010,81,A2,93,A1,91,A1,27,E1,91,A1
684,Diane Lucas,Female,21-04-2009,Trevor Fitzgerald,Lauren Hernandez,5010,33,D,47,C2,54,C1,38,D,32,D
685,Connor Alvarado,Female,11-12-2008,Arthur Martinez,Jennifer James,5010,28,E1,89,A2,43,C2,17,E2,44,C2
686,Michelle Robles,Male,25-01-2009,Jonathan Lyons,Dr. Kim Miller MD,5010,15,E2,27,E1,22,E1,60,C1,52,C1
687,John Lee,Male,06-05-2008,Ray Nicholson,Lisa Burton,5010,50,C2,65,B2,99,A1,57,C1,45,C2
